n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap,criterion,norm_out
50,sqrt,30,5,1,True,squared_error,0
50,sqrt,30,5,1,True,absolute_error,0
50,sqrt,30,5,2,True,squared_error,0
50,sqrt,30,5,2,True,absolute_error,0
50,sqrt,40,2,1,True,squared_error,0
50,sqrt,40,2,1,True,absolute_error,0
50,sqrt,40,2,2,True,squared_error,0
50,sqrt,40,2,2,True,absolute_error,0
50,sqrt,40,5,1,True,squared_error,0
50,sqrt,40,5,1,True,absolute_error,0
50,sqrt,40,5,2,True,squared_error,0
50,sqrt,40,5,2,True,absolute_error,0
50,sqrt,50,2,1,True,squared_error,0
50,sqrt,50,2,1,True,absolute_error,0
50,sqrt,50,2,2,True,squared_error,0
50,sqrt,50,2,2,True,absolute_error,0
50,sqrt,50,5,1,True,squared_error,0
50,sqrt,50,5,1,True,absolute_error,0
50,sqrt,50,5,2,True,squared_error,0
50,sqrt,50,5,2,True,absolute_error,0
100,log2,10,2,1,True,squared_error,0
100,log2,10,2,1,True,absolute_error,0
100,log2,10,2,2,True,squared_error,0
100,log2,10,2,2,True,absolute_error,0
100,log2,10,5,1,True,squared_error,0
100,log2,10,5,1,True,absolute_error,0
100,log2,10,5,2,True,squared_error,0
100,log2,10,5,2,True,absolute_error,0
100,log2,20,2,1,True,squared_error,0
100,log2,20,2,1,True,absolute_error,0
100,log2,20,2,2,True,squared_error,0
100,log2,20,2,2,True,absolute_error,0
100,log2,20,5,1,True,squared_error,0
100,log2,20,5,1,True,absolute_error,0
100,log2,20,5,2,True,squared_error,0
100,log2,20,5,2,True,absolute_error,0
100,log2,30,2,1,True,squared_error,0
100,log2,30,2,1,True,absolute_error,0
100,log2,30,2,2,True,squared_error,0
100,log2,30,2,2,True,absolute_error,0
100,log2,30,5,1,True,squared_error,0
100,log2,30,5,1,True,absolute_error,0
100,log2,30,5,2,True,squared_error,0
100,log2,30,5,2,True,absolute_error,0
100,log2,40,2,1,True,squared_error,0
100,log2,40,2,1,True,absolute_error,0
100,log2,40,2,2,True,squared_error,0
100,log2,40,2,2,True,absolute_error,0
100,log2,40,5,1,True,squared_error,0
100,log2,40,5,1,True,absolute_error,0
100,log2,40,5,2,True,squared_error,0
100,log2,40,5,2,True,absolute_error,0
100,log2,50,2,1,True,squared_error,0
100,log2,50,2,1,True,absolute_error,0
100,log2,50,2,2,True,squared_error,0
100,log2,50,2,2,True,absolute_error,0
100,log2,50,5,1,True,squared_error,0
100,log2,50,5,1,True,absolute_error,0
100,log2,50,5,2,True,squared_error,0
100,log2,50,5,2,True,absolute_error,0
100,sqrt,10,2,1,True,squared_error,0
100,sqrt,10,2,1,True,absolute_error,0
100,sqrt,10,2,2,True,squared_error,0
100,sqrt,10,2,2,True,absolute_error,0
100,sqrt,10,5,1,True,squared_error,0
100,sqrt,10,5,1,True,absolute_error,0
100,sqrt,10,5,2,True,squared_error,0
100,sqrt,10,5,2,True,absolute_error,0
100,sqrt,20,2,1,True,squared_error,0
100,sqrt,20,2,1,True,absolute_error,0
100,sqrt,20,2,2,True,squared_error,0
100,sqrt,20,2,2,True,absolute_error,0
100,sqrt,20,5,1,True,squared_error,0
100,sqrt,20,5,1,True,absolute_error,0
100,sqrt,20,5,2,True,squared_error,0
100,sqrt,20,5,2,True,absolute_error,0
100,sqrt,30,2,1,True,squared_error,0
100,sqrt,30,2,1,True,absolute_error,0
100,sqrt,30,2,2,True,squared_error,0
100,sqrt,30,2,2,True,absolute_error,0
100,sqrt,30,5,1,True,squared_error,0
100,sqrt,30,5,1,True,absolute_error,0
100,sqrt,30,5,2,True,squared_error,0
100,sqrt,30,5,2,True,absolute_error,0
100,sqrt,40,2,1,True,squared_error,0
100,sqrt,40,2,1,True,absolute_error,0
100,sqrt,40,2,2,True,squared_error,0
100,sqrt,40,2,2,True,absolute_error,0
100,sqrt,40,5,1,True,squared_error,0
100,sqrt,40,5,1,True,absolute_error,0
100,sqrt,40,5,2,True,squared_error,0
100,sqrt,40,5,2,True,absolute_error,0
100,sqrt,50,2,1,True,squared_error,0
100,sqrt,50,2,1,True,absolute_error,0
100,sqrt,50,2,2,True,squared_error,0
100,sqrt,50,2,2,True,absolute_error,0
100,sqrt,50,5,1,True,squared_error,0
100,sqrt,50,5,1,True,absolute_error,0
100,sqrt,50,5,2,True,squared_error,0
100,sqrt,50,5,2,True,absolute_error,0
200,log2,10,2,1,True,squared_error,0
200,log2,10,2,1,True,absolute_error,0
200,log2,10,2,2,True,squared_error,0
200,log2,10,2,2,True,absolute_error,0
200,log2,10,5,1,True,squared_error,0
200,log2,10,5,1,True,absolute_error,0
200,log2,10,5,2,True,squared_error,0
200,log2,10,5,2,True,absolute_error,0
200,log2,20,2,1,True,squared_error,0
200,log2,20,2,1,True,absolute_error,0
200,log2,20,2,2,True,squared_error,0
200,log2,20,2,2,True,absolute_error,0
200,log2,20,5,1,True,squared_error,0
200,log2,20,5,1,True,absolute_error,0
200,log2,20,5,2,True,squared_error,0
200,log2,20,5,2,True,absolute_error,0
200,log2,30,2,1,True,squared_error,0
200,log2,30,2,1,True,absolute_error,0
200,log2,30,2,2,True,squared_error,0
200,log2,30,2,2,True,absolute_error,0
200,log2,30,5,1,True,squared_error,0
200,log2,30,5,1,True,absolute_error,0
200,log2,30,5,2,True,squared_error,0
200,log2,30,5,2,True,absolute_error,0
200,log2,40,2,1,True,squared_error,0
200,log2,40,2,1,True,absolute_error,0
200,log2,40,2,2,True,squared_error,0
200,log2,40,2,2,True,absolute_error,0
200,log2,40,5,1,True,squared_error,0
200,log2,40,5,1,True,absolute_error,0
200,log2,40,5,2,True,squared_error,0
200,log2,40,5,2,True,absolute_error,0
200,log2,50,2,1,True,squared_error,0
200,log2,50,2,1,True,absolute_error,0
200,log2,50,2,2,True,squared_error,0
200,log2,50,2,2,True,absolute_error,0
200,log2,50,5,1,True,squared_error,0
200,log2,50,5,1,True,absolute_error,0
200,log2,50,5,2,True,squared_error,0
200,log2,50,5,2,True,absolute_error,0
200,sqrt,10,2,1,True,squared_error,0
200,sqrt,10,2,1,True,absolute_error,0
200,sqrt,10,2,2,True,squared_error,0
200,sqrt,10,2,2,True,absolute_error,0
200,sqrt,10,5,1,True,squared_error,0
200,sqrt,10,5,1,True,absolute_error,0
200,sqrt,10,5,2,True,squared_error,0
200,sqrt,10,5,2,True,absolute_error,0
200,sqrt,20,2,1,True,squared_error,0
200,sqrt,20,2,1,True,absolute_error,0
200,sqrt,20,2,2,True,squared_error,0
200,sqrt,20,2,2,True,absolute_error,0
200,sqrt,20,5,1,True,squared_error,0
200,sqrt,20,5,1,True,absolute_error,0
200,sqrt,20,5,2,True,squared_error,0
200,sqrt,20,5,2,True,absolute_error,0
200,sqrt,30,2,1,True,squared_error,0
200,sqrt,30,2,1,True,absolute_error,0
200,sqrt,30,2,2,True,squared_error,0
200,sqrt,30,2,2,True,absolute_error,0
200,sqrt,30,5,1,True,squared_error,0
200,sqrt,30,5,1,True,absolute_error,0
200,sqrt,30,5,2,True,squared_error,0
200,sqrt,30,5,2,True,absolute_error,0
200,sqrt,40,2,1,True,squared_error,0
200,sqrt,40,2,1,True,absolute_error,0
200,sqrt,40,2,2,True,squared_error,0
200,sqrt,40,2,2,True,absolute_error,0
200,sqrt,40,5,1,True,squared_error,0
200,sqrt,40,5,1,True,absolute_error,0
200,sqrt,40,5,2,True,squared_error,0
200,sqrt,40,5,2,True,absolute_error,0
200,sqrt,50,2,1,True,squared_error,0
200,sqrt,50,2,1,True,absolute_error,0
200,sqrt,50,2,2,True,squared_error,0
200,sqrt,50,2,2,True,absolute_error,0
200,sqrt,50,5,1,True,squared_error,0
200,sqrt,50,5,1,True,absolute_error,0
200,sqrt,50,5,2,True,squared_error,0
200,sqrt,50,5,2,True,absolute_error,0
300,log2,10,2,1,True,squared_error,0
300,log2,10,2,1,True,absolute_error,0
300,log2,10,2,2,True,squared_error,0
300,log2,10,2,2,True,absolute_error,0
300,log2,10,5,1,True,squared_error,0
300,log2,10,5,1,True,absolute_error,0
300,log2,10,5,2,True,squared_error,0
300,log2,10,5,2,True,absolute_error,0
300,log2,20,2,1,True,squared_error,0
300,log2,20,2,1,True,absolute_error,0
300,log2,20,2,2,True,squared_error,0
300,log2,20,2,2,True,absolute_error,0
300,log2,20,5,1,True,squared_error,0
300,log2,20,5,1,True,absolute_error,0
300,log2,20,5,2,True,squared_error,0
300,log2,20,5,2,True,absolute_error,0
300,log2,30,2,1,True,squared_error,0
300,log2,30,2,1,True,absolute_error,0
300,log2,30,2,2,True,squared_error,0
300,log2,30,2,2,True,absolute_error,0
300,log2,30,5,1,True,squared_error,0
300,log2,30,5,1,True,absolute_error,0
300,log2,30,5,2,True,squared_error,0
300,log2,30,5,2,True,absolute_error,0
300,log2,40,2,1,True,squared_error,0
300,log2,40,2,1,True,absolute_error,0
300,log2,40,2,2,True,squared_error,0
300,log2,40,2,2,True,absolute_error,0
300,log2,40,5,1,True,squared_error,0
300,log2,40,5,1,True,absolute_error,0
300,log2,40,5,2,True,squared_error,0
300,log2,40,5,2,True,absolute_error,0
300,log2,50,2,1,True,squared_error,0
300,log2,50,2,1,True,absolute_error,0
300,log2,50,2,2,True,squared_error,0
300,log2,50,2,2,True,absolute_error,0
300,log2,50,5,1,True,squared_error,0
300,log2,50,5,1,True,absolute_error,0
300,log2,50,5,2,True,squared_error,0
300,log2,50,5,2,True,absolute_error,0
300,sqrt,10,2,1,True,squared_error,0
300,sqrt,10,2,1,True,absolute_error,0
300,sqrt,10,2,2,True,squared_error,0
300,sqrt,10,2,2,True,absolute_error,0
300,sqrt,10,5,1,True,squared_error,0
300,sqrt,10,5,1,True,absolute_error,0
300,sqrt,10,5,2,True,squared_error,0
300,sqrt,10,5,2,True,absolute_error,0
300,sqrt,20,2,1,True,squared_error,0
300,sqrt,20,2,1,True,absolute_error,0
300,sqrt,20,2,2,True,squared_error,0
300,sqrt,20,2,2,True,absolute_error,0
300,sqrt,20,5,1,True,squared_error,0
300,sqrt,20,5,1,True,absolute_error,0
300,sqrt,20,5,2,True,squared_error,0
300,sqrt,20,5,2,True,absolute_error,0
300,sqrt,30,2,1,True,squared_error,0
300,sqrt,30,2,1,True,absolute_error,0
300,sqrt,30,2,2,True,squared_error,0
300,sqrt,30,2,2,True,absolute_error,0
300,sqrt,30,5,1,True,squared_error,0
300,sqrt,30,5,1,True,absolute_error,0
300,sqrt,30,5,2,True,squared_error,0
300,sqrt,30,5,2,True,absolute_error,0
300,sqrt,40,2,1,True,squared_error,0
300,sqrt,40,2,1,True,absolute_error,0
300,sqrt,40,2,2,True,squared_error,0
300,sqrt,40,2,2,True,absolute_error,0
300,sqrt,40,5,1,True,squared_error,0
300,sqrt,40,5,1,True,absolute_error,0
300,sqrt,40,5,2,True,squared_error,0
300,sqrt,40,5,2,True,absolute_error,0
300,sqrt,50,2,1,True,squared_error,0
300,sqrt,50,2,1,True,absolute_error,0
300,sqrt,50,2,2,True,squared_error,0
300,sqrt,50,2,2,True,absolute_error,0
300,sqrt,50,5,1,True,squared_error,0
300,sqrt,50,5,1,True,absolute_error,0
300,sqrt,50,5,2,True,squared_error,0
300,sqrt,50,5,2,True,absolute_error,0
400,log2,10,2,1,True,squared_error,0
400,log2,10,2,1,True,absolute_error,0
400,log2,10,2,2,True,squared_error,0
400,log2,10,2,2,True,absolute_error,0
400,log2,10,5,1,True,squared_error,0
400,log2,10,5,1,True,absolute_error,0
400,log2,10,5,2,True,squared_error,0
400,log2,10,5,2,True,absolute_error,0
400,log2,20,2,1,True,squared_error,0
400,log2,20,2,1,True,absolute_error,0
400,log2,20,2,2,True,squared_error,0
400,log2,20,2,2,True,absolute_error,0
400,log2,20,5,1,True,squared_error,0
400,log2,20,5,1,True,absolute_error,0
400,log2,20,5,2,True,squared_error,0
400,log2,20,5,2,True,absolute_error,0
400,log2,30,2,1,True,squared_error,0
400,log2,30,2,1,True,absolute_error,0
400,log2,30,2,2,True,squared_error,0
400,log2,30,2,2,True,absolute_error,0
400,log2,30,5,1,True,squared_error,0
400,log2,30,5,1,True,absolute_error,0
400,log2,30,5,2,True,squared_error,0
400,log2,30,5,2,True,absolute_error,0
400,log2,40,2,1,True,squared_error,0
400,log2,40,2,1,True,absolute_error,0
400,log2,40,2,2,True,squared_error,0
400,log2,40,2,2,True,absolute_error,0
400,log2,40,5,1,True,squared_error,0
400,log2,40,5,1,True,absolute_error,0
400,log2,40,5,2,True,squared_error,0
400,log2,40,5,2,True,absolute_error,0
400,log2,50,2,1,True,squared_error,0
400,log2,50,2,1,True,absolute_error,0
400,log2,50,2,2,True,squared_error,0
400,log2,50,2,2,True,absolute_error,0
400,log2,50,5,1,True,squared_error,0
400,log2,50,5,1,True,absolute_error,0
400,log2,50,5,2,True,squared_error,0
400,log2,50,5,2,True,absolute_error,0
400,sqrt,10,2,1,True,squared_error,0
400,sqrt,10,2,1,True,absolute_error,0
400,sqrt,10,2,2,True,squared_error,0
400,sqrt,10,2,2,True,absolute_error,0
400,sqrt,10,5,1,True,squared_error,0
400,sqrt,10,5,1,True,absolute_error,0
400,sqrt,10,5,2,True,squared_error,0
400,sqrt,10,5,2,True,absolute_error,0
400,sqrt,20,2,1,True,squared_error,0
400,sqrt,20,2,1,True,absolute_error,0
400,sqrt,20,2,2,True,squared_error,0
400,sqrt,20,2,2,True,absolute_error,0
400,sqrt,20,5,1,True,squared_error,0
400,sqrt,20,5,1,True,absolute_error,0
400,sqrt,20,5,2,True,squared_error,0
400,sqrt,20,5,2,True,absolute_error,0
400,sqrt,30,2,1,True,squared_error,0
400,sqrt,30,2,1,True,absolute_error,0
400,sqrt,30,2,2,True,squared_error,0
400,sqrt,30,2,2,True,absolute_error,0
400,sqrt,30,5,1,True,squared_error,0
400,sqrt,30,5,1,True,absolute_error,0
400,sqrt,30,5,2,True,squared_error,0
400,sqrt,30,5,2,True,absolute_error,0
400,sqrt,40,2,1,True,squared_error,0
400,sqrt,40,2,1,True,absolute_error,0
400,sqrt,40,2,2,True,squared_error,0
400,sqrt,40,2,2,True,absolute_error,0
400,sqrt,40,5,1,True,squared_error,0
400,sqrt,40,5,1,True,absolute_error,0
400,sqrt,40,5,2,True,squared_error,0
400,sqrt,40,5,2,True,absolute_error,0
400,sqrt,50,2,1,True,squared_error,0
400,sqrt,50,2,1,True,absolute_error,0
400,sqrt,50,2,2,True,squared_error,0
400,sqrt,50,2,2,True,absolute_error,0
400,sqrt,50,5,1,True,squared_error,0
400,sqrt,50,5,1,True,absolute_error,0
400,sqrt,50,5,2,True,squared_error,0
400,sqrt,50,5,2,True,absolute_error,0
500,log2,10,2,1,True,squared_error,0
500,log2,10,2,1,True,absolute_error,0
500,log2,10,2,2,True,squared_error,0
500,log2,10,2,2,True,absolute_error,0
500,log2,10,5,1,True,squared_error,0
500,log2,10,5,1,True,absolute_error,0
500,log2,10,5,2,True,squared_error,0
500,log2,10,5,2,True,absolute_error,0
500,log2,20,2,1,True,squared_error,0
500,log2,20,2,1,True,absolute_error,0
500,log2,20,2,2,True,squared_error,0
500,log2,20,2,2,True,absolute_error,0
500,log2,20,5,1,True,squared_error,0
500,log2,20,5,1,True,absolute_error,0
500,log2,20,5,2,True,squared_error,0
500,log2,20,5,2,True,absolute_error,0
500,log2,30,2,1,True,squared_error,0
500,log2,30,2,1,True,absolute_error,0
500,log2,30,2,2,True,squared_error,0
500,log2,30,2,2,True,absolute_error,0
500,log2,30,5,1,True,squared_error,0
500,log2,30,5,1,True,absolute_error,0
500,log2,30,5,2,True,squared_error,0
500,log2,30,5,2,True,absolute_error,0
500,log2,40,2,1,True,squared_error,0
500,log2,40,2,1,True,absolute_error,0
500,log2,40,2,2,True,squared_error,0
500,log2,40,2,2,True,absolute_error,0
500,log2,40,5,1,True,squared_error,0
500,log2,40,5,1,True,absolute_error,0
500,log2,40,5,2,True,squared_error,0
500,log2,40,5,2,True,absolute_error,0
500,log2,50,2,1,True,squared_error,0
500,log2,50,2,1,True,absolute_error,0
500,log2,50,2,2,True,squared_error,0
500,log2,50,2,2,True,absolute_error,0
500,log2,50,5,1,True,squared_error,0
500,log2,50,5,1,True,absolute_error,0
500,log2,50,5,2,True,squared_error,0
500,log2,50,5,2,True,absolute_error,0
500,sqrt,10,2,1,True,squared_error,0
500,sqrt,10,2,1,True,absolute_error,0
500,sqrt,10,2,2,True,squared_error,0
500,sqrt,10,2,2,True,absolute_error,0
500,sqrt,10,5,1,True,squared_error,0
500,sqrt,10,5,1,True,absolute_error,0
500,sqrt,10,5,2,True,squared_error,0
500,sqrt,10,5,2,True,absolute_error,0
500,sqrt,20,2,1,True,squared_error,0
500,sqrt,20,2,1,True,absolute_error,0
500,sqrt,20,2,2,True,squared_error,0
500,sqrt,20,2,2,True,absolute_error,0
500,sqrt,20,5,1,True,squared_error,0
500,sqrt,20,5,1,True,absolute_error,0
500,sqrt,20,5,2,True,squared_error,0
500,sqrt,20,5,2,True,absolute_error,0
500,sqrt,30,2,1,True,squared_error,0
500,sqrt,30,2,1,True,absolute_error,0
500,sqrt,30,2,2,True,squared_error,0
500,sqrt,30,2,2,True,absolute_error,0
500,sqrt,30,5,1,True,squared_error,0
500,sqrt,30,5,1,True,absolute_error,0
500,sqrt,30,5,2,True,squared_error,0
500,sqrt,30,5,2,True,absolute_error,0
500,sqrt,40,2,1,True,squared_error,0
500,sqrt,40,2,1,True,absolute_error,0
500,sqrt,40,2,2,True,squared_error,0
500,sqrt,40,2,2,True,absolute_error,0
500,sqrt,40,5,1,True,squared_error,0
500,sqrt,40,5,1,True,absolute_error,0
500,sqrt,40,5,2,True,squared_error,0
500,sqrt,40,5,2,True,absolute_error,0
500,sqrt,50,2,1,True,squared_error,0
500,sqrt,50,2,1,True,absolute_error,0
500,sqrt,50,2,2,True,squared_error,0
500,sqrt,50,2,2,True,absolute_error,0
500,sqrt,50,5,1,True,squared_error,0
500,sqrt,50,5,1,True,absolute_error,0
500,sqrt,50,5,2,True,squared_error,0
500,sqrt,50,5,2,True,absolute_error,0
