n_estimators,learning_rate,max_depth,objective,alpha,lambda1,norm_out
300,0.01,40,reg:squarederror,0.2,0.2,0
300,0.01,50,reg:squarederror,0.1,0.1,0
300,0.01,50,reg:squarederror,0.1,0.2,0
300,0.01,50,reg:squarederror,0.2,0.1,0
300,0.01,50,reg:squarederror,0.2,0.2,0
300,0.005,10,reg:squarederror,0.1,0.1,0
300,0.005,10,reg:squarederror,0.1,0.2,0
300,0.005,10,reg:squarederror,0.2,0.1,0
300,0.005,10,reg:squarederror,0.2,0.2,0
300,0.005,20,reg:squarederror,0.1,0.1,0
300,0.005,20,reg:squarederror,0.1,0.2,0
300,0.005,20,reg:squarederror,0.2,0.1,0
300,0.005,20,reg:squarederror,0.2,0.2,0
300,0.005,30,reg:squarederror,0.1,0.1,0
300,0.005,30,reg:squarederror,0.1,0.2,0
300,0.005,30,reg:squarederror,0.2,0.1,0
300,0.005,30,reg:squarederror,0.2,0.2,0
300,0.005,40,reg:squarederror,0.1,0.1,0
300,0.005,40,reg:squarederror,0.1,0.2,0
300,0.005,40,reg:squarederror,0.2,0.1,0
300,0.005,40,reg:squarederror,0.2,0.2,0
300,0.005,50,reg:squarederror,0.1,0.1,0
300,0.005,50,reg:squarederror,0.1,0.2,0
300,0.005,50,reg:squarederror,0.2,0.1,0
300,0.005,50,reg:squarederror,0.2,0.2,0
400,0.01,10,reg:squarederror,0.1,0.1,0
400,0.01,10,reg:squarederror,0.1,0.2,0
400,0.01,10,reg:squarederror,0.2,0.1,0
400,0.01,10,reg:squarederror,0.2,0.2,0
400,0.01,20,reg:squarederror,0.1,0.1,0
400,0.01,20,reg:squarederror,0.1,0.2,0
400,0.01,20,reg:squarederror,0.2,0.1,0
400,0.01,20,reg:squarederror,0.2,0.2,0
400,0.01,30,reg:squarederror,0.1,0.1,0
400,0.01,30,reg:squarederror,0.1,0.2,0
400,0.01,30,reg:squarederror,0.2,0.1,0
400,0.01,30,reg:squarederror,0.2,0.2,0
400,0.01,40,reg:squarederror,0.1,0.1,0
400,0.01,40,reg:squarederror,0.1,0.2,0
400,0.01,40,reg:squarederror,0.2,0.1,0
400,0.01,40,reg:squarederror,0.2,0.2,0
400,0.01,50,reg:squarederror,0.1,0.1,0
400,0.01,50,reg:squarederror,0.1,0.2,0
400,0.01,50,reg:squarederror,0.2,0.1,0
400,0.01,50,reg:squarederror,0.2,0.2,0
400,0.005,10,reg:squarederror,0.1,0.1,0
400,0.005,10,reg:squarederror,0.1,0.2,0
400,0.005,10,reg:squarederror,0.2,0.1,0
400,0.005,10,reg:squarederror,0.2,0.2,0
400,0.005,20,reg:squarederror,0.1,0.1,0
400,0.005,20,reg:squarederror,0.1,0.2,0
400,0.005,20,reg:squarederror,0.2,0.1,0
400,0.005,20,reg:squarederror,0.2,0.2,0
400,0.005,30,reg:squarederror,0.1,0.1,0
400,0.005,30,reg:squarederror,0.1,0.2,0
400,0.005,30,reg:squarederror,0.2,0.1,0
400,0.005,30,reg:squarederror,0.2,0.2,0
400,0.005,40,reg:squarederror,0.1,0.1,0
400,0.005,40,reg:squarederror,0.1,0.2,0
400,0.005,40,reg:squarederror,0.2,0.1,0
400,0.005,40,reg:squarederror,0.2,0.2,0
400,0.005,50,reg:squarederror,0.1,0.1,0
400,0.005,50,reg:squarederror,0.1,0.2,0
400,0.005,50,reg:squarederror,0.2,0.1,0
400,0.005,50,reg:squarederror,0.2,0.2,0
500,0.01,10,reg:squarederror,0.1,0.1,0
500,0.01,10,reg:squarederror,0.1,0.2,0
500,0.01,10,reg:squarederror,0.2,0.1,0
500,0.01,10,reg:squarederror,0.2,0.2,0
500,0.01,20,reg:squarederror,0.1,0.1,0
500,0.01,20,reg:squarederror,0.1,0.2,0
500,0.01,20,reg:squarederror,0.2,0.1,0
500,0.01,20,reg:squarederror,0.2,0.2,0
500,0.01,30,reg:squarederror,0.1,0.1,0
500,0.01,30,reg:squarederror,0.1,0.2,0
500,0.01,30,reg:squarederror,0.2,0.1,0
500,0.01,30,reg:squarederror,0.2,0.2,0
500,0.01,40,reg:squarederror,0.1,0.1,0
500,0.01,40,reg:squarederror,0.1,0.2,0
500,0.01,40,reg:squarederror,0.2,0.1,0
500,0.01,40,reg:squarederror,0.2,0.2,0
500,0.01,50,reg:squarederror,0.1,0.1,0
500,0.01,50,reg:squarederror,0.1,0.2,0
500,0.01,50,reg:squarederror,0.2,0.1,0
500,0.01,50,reg:squarederror,0.2,0.2,0
500,0.005,10,reg:squarederror,0.1,0.1,0
500,0.005,10,reg:squarederror,0.1,0.2,0
500,0.005,10,reg:squarederror,0.2,0.1,0
500,0.005,10,reg:squarederror,0.2,0.2,0
500,0.005,20,reg:squarederror,0.1,0.1,0
500,0.005,20,reg:squarederror,0.1,0.2,0
500,0.005,20,reg:squarederror,0.2,0.1,0
500,0.005,20,reg:squarederror,0.2,0.2,0
500,0.005,30,reg:squarederror,0.1,0.1,0
500,0.005,30,reg:squarederror,0.1,0.2,0
500,0.005,30,reg:squarederror,0.2,0.1,0
500,0.005,30,reg:squarederror,0.2,0.2,0
500,0.005,40,reg:squarederror,0.1,0.1,0
500,0.005,40,reg:squarederror,0.1,0.2,0
500,0.005,40,reg:squarederror,0.2,0.1,0
500,0.005,40,reg:squarederror,0.2,0.2,0
500,0.005,50,reg:squarederror,0.1,0.1,0
500,0.005,50,reg:squarederror,0.1,0.2,0
500,0.005,50,reg:squarederror,0.2,0.1,0
500,0.005,50,reg:squarederror,0.2,0.2,0
